Genre,Article Name,Model,sentiment_shift,keyword_overlap,similarity,framing_label,article_keywords,summary_keywords,missing_important_topics
Health,CDC warns of drug-resistant salmonella infections linked to backyard poultry,GPT,0.2707,0.3,0.8712,Major shift,salmonella outbreaks | sickened salmonella | salmonella poisoning | salmonella infections | including salmonella | handling poultry | salmonella | treat salmonella | illnesses reported | poultry recent,salmonella outbreaks | contracted salmonella | poultry concerning | salmonella poisoning | associated salmonella | salmonella | contact poultry | risk infection | backyard poultry | poultry associated,handling poultry | illnesses reported | including salmonella | poultry recent | salmonella infections | sickened salmonella | treat salmonella
Health,CDC warns of drug-resistant salmonella infections linked to backyard poultry,Gemini,0.1093,0.3,0.8374,Major shift,salmonella outbreaks | sickened salmonella | salmonella poisoning | salmonella infections | including salmonella | handling poultry | salmonella | treat salmonella | illnesses reported | poultry recent,resistant salmonella | salmonella infections | handling poultry | poultry environment | antibiotic resistant | salmonella | infections untreatable | recent outbreak | poultry | infections,illnesses reported | including salmonella | poultry recent | salmonella outbreaks | salmonella poisoning | sickened salmonella | treat salmonella
Health,CDC warns of drug-resistant salmonella infections linked to backyard poultry,Grok,0.3497,0.3,0.8531,Major shift,salmonella outbreaks | sickened salmonella | salmonella poisoning | salmonella infections | including salmonella | handling poultry | salmonella | treat salmonella | illnesses reported | poultry recent,outbreak salmonella | salmonella infections | salmonella | handling poultry | salmonella strains | shows salmonella | poultry environment | backyard poultry | poultry | prevent infection,illnesses reported | including salmonella | poultry recent | salmonella outbreaks | salmonella poisoning | sickened salmonella | treat salmonella
Health,What Is the Best Time of Day to Eat Protein? Dietitians Weigh In,GPT,-0.0241,0.3,0.8683,Major shift,protein meal | eating protein | protein eat | protein intake | protein diets | eat protein | daily protein | protein dinner | protein best | protein healthy,protein meal | protein intake | daily protein | consume protein | meal protein | midday protein | dinner protein | day protein | protein snacks | protein rich,eat protein | eating protein | protein best | protein diets | protein dinner | protein eat | protein healthy
Health,What Is the Best Time of Day to Eat Protein? Dietitians Weigh In,Gemini,-0.0187,0.3,0.8326,Major shift,protein meal | eating protein | protein eat | protein intake | protein diets | eat protein | daily protein | protein dinner | protein best | protein healthy,protein intake | eating protein | protein breakfast | protein meal | consuming protein | grams protein | protein sitting | protein dietitians | lot protein | protein,daily protein | eat protein | protein best | protein diets | protein dinner | protein eat | protein healthy
Health,What Is the Best Time of Day to Eat Protein? Dietitians Weigh In,Grok,-0.0082,0.2,0.8452,Major shift,protein meal | eating protein | protein eat | protein intake | protein diets | eat protein | daily protein | protein dinner | protein best | protein healthy,protein intake | consuming protein | dinner protein | eat protein | protein day | protein hours | grams protein | protein rich | protein | protein kilogram,daily protein | eating protein | protein best | protein diets | protein dinner | protein eat | protein healthy | protein meal
Health,Aspirin can reduce the risk of cancer - and we're starting to understand why,GPT,0.1024,0.1,0.6909,Major shift,patients lynch | lynch syndrome | causes lynch | james aspirin | clinical genetics | aspirin cancer | cancer genetically | mutations bowel | screened mutations | james patient,aspirin cancer | aspirin broader | aspirin effect | understand aspirin | syndrome aspirin | adoption aspirin | aspirin | evidence aspirin | mechanism aspirin | aspirin 000,cancer genetically | causes lynch | clinical genetics | james aspirin | james patient | lynch syndrome | mutations bowel | patients lynch | screened mutations
Health,Aspirin can reduce the risk of cancer - and we're starting to understand why,Gemini,0.0199,0.0,0.6487,Major shift,patients lynch | lynch syndrome | causes lynch | james aspirin | clinical genetics | aspirin cancer | cancer genetically | mutations bowel | screened mutations | james patient,aspirin inhibits | aspirin significantly | aspirin drug | inhibits cox | suggests aspirin | aspirin | dose aspirin | colorectal cancer | bowel cancer | cox enzyme,aspirin cancer | cancer genetically | causes lynch | clinical genetics | james aspirin | james patient | lynch syndrome | mutations bowel | patients lynch | screened mutations
Health,Aspirin can reduce the risk of cancer - and we're starting to understand why,Grok,0.0518,0.0,0.6599,Major shift,patients lynch | lynch syndrome | causes lynch | james aspirin | clinical genetics | aspirin cancer | cancer genetically | mutations bowel | screened mutations | james patient,recommending aspirin | aspirin medicine | summary aspirin | inhibiting cox | aspirin | colorectal cancer | aspirin taken | bowel cancer | aspirin high | stress aspirin,aspirin cancer | cancer genetically | causes lynch | clinical genetics | james aspirin | james patient | lynch syndrome | mutations bowel | patients lynch | screened mutations
Health,"New study reveals coffee’s positive gut impacts, even without caffeine",GPT,-0.0379,0.5,0.9218,Slight shift,benefits coffee | effects coffee | caffeinated coffee | drinking caffeinated | coffee caffeinated | caffeine content | caffeine food | caffeinated decaffeinated | drinking coffee | caffeine,effects coffee | gut health | caffeine content | caffeine | caffeinated coffee | gut microbiome | affect gut | coffee caffeinated | beneficial gut | bacteria coffee,benefits coffee | caffeinated decaffeinated | caffeine food | drinking caffeinated | drinking coffee
Health,"New study reveals coffee’s positive gut impacts, even without caffeine",Gemini,-0.3286,0.4,0.939,Major shift,benefits coffee | effects coffee | caffeinated coffee | drinking caffeinated | coffee caffeinated | caffeine content | caffeine food | caffeinated decaffeinated | drinking coffee | caffeine,effects coffee | coffee gut | caffeine content | caffeinated coffee | gut health | caffeine | consumption caffeinated | microbiome mood | coffee significantly | beneficial gut,benefits coffee | caffeinated decaffeinated | caffeine food | coffee caffeinated | drinking caffeinated | drinking coffee
Health,"New study reveals coffee’s positive gut impacts, even without caffeine",Grok,-0.2611,0.4,0.9461,Major shift,benefits coffee | effects coffee | caffeinated coffee | drinking caffeinated | coffee caffeinated | caffeine content | caffeine food | caffeinated decaffeinated | drinking coffee | caffeine,caffeine content | consumption caffeinated | caffeinated coffee | caffeine | coffee consumption | gut microbiome | caffeinated decaffeinated | microbiome health | regardless caffeine | caffeinated,benefits coffee | caffeine food | coffee caffeinated | drinking caffeinated | drinking coffee | effects coffee
Health,CDC blocks publication of report showing COVID vaccine efficacy,GPT,-1.8394,0.2,0.8173,Major shift,published cdc | cdc officials | vaccine published | cdc official | prevention cdc | oversees cdc | vaccine effectiveness | news cdc | cdc confirmed | supporting vaccine,vaccine policy | policy cdc | vaccine effectiveness | prevention cdc | vaccine recommendations | following vaccine | cdc director | altered vaccine | vaccine | evaluating vaccine,cdc confirmed | cdc official | cdc officials | news cdc | oversees cdc | published cdc | supporting vaccine | vaccine published
Health,CDC blocks publication of report showing COVID vaccine efficacy,Gemini,-1.4983,0.3,0.8037,Major shift,published cdc | cdc officials | vaccine published | cdc official | prevention cdc | oversees cdc | vaccine effectiveness | news cdc | cdc confirmed | supporting vaccine,cdc officials | prevention cdc | vaccine reduced | vaccine policies | cdc reportedly | cdc director | alter vaccine | cdc | vaccine effectiveness | vaccine,cdc confirmed | cdc official | news cdc | oversees cdc | published cdc | supporting vaccine | vaccine published
Health,CDC blocks publication of report showing COVID vaccine efficacy,Grok,-1.842,0.2,0.8159,Major shift,published cdc | cdc officials | vaccine published | cdc official | prevention cdc | oversees cdc | vaccine effectiveness | news cdc | cdc confirmed | supporting vaccine,vaccine study | cdc director | cdc official | vaccine effectiveness | summary cdc | flu vaccine | vaccines reduced | acting cdc | agency scientific | cdc blocked,cdc confirmed | cdc officials | news cdc | oversees cdc | prevention cdc | published cdc | supporting vaccine | vaccine published
Health,Why the key to losing weight may be enjoying your food,GPT,-0.5579,0.1,0.7079,Major shift,shape appetite | stimulates appetite | eating indulgent | satisfied hungry | hunger satiation | appetite | eating habits | eating healthy | guilt eating | pleasure eating,regulate appetite | altering hunger | appetite perspective | consuming indulgent | hunger satiation | affect hunger | dietary restraint | indulgent foods | levels hunger | pleasure food,appetite | eating habits | eating healthy | eating indulgent | guilt eating | pleasure eating | satisfied hungry | shape appetite | stimulates appetite
Health,Why the key to losing weight may be enjoying your food,Gemini,-0.0267,0.0,0.6685,Major shift,shape appetite | stimulates appetite | eating indulgent | satisfied hungry | hunger satiation | appetite | eating habits | eating healthy | guilt eating | pleasure eating,food indulgent | mindset indulgence | indulgence enjoying | hunger | drop hunger | mindset pleasure | hunger hormones | believing food | healthy weight | indulgent,appetite | eating habits | eating healthy | eating indulgent | guilt eating | hunger satiation | pleasure eating | satisfied hungry | shape appetite | stimulates appetite
Health,Why the key to losing weight may be enjoying your food,Grok,-0.1371,0.1,0.7083,Major shift,shape appetite | stimulates appetite | eating indulgent | satisfied hungry | hunger satiation | appetite | eating habits | eating healthy | guilt eating | pleasure eating,obsessing calories | compensatory eating | losing weight | mindset foods | drop hunger | satisfied hungry | calories deprivation | healthier weight | enjoying nutritious | eating instead,appetite | eating habits | eating healthy | eating indulgent | guilt eating | hunger satiation | pleasure eating | shape appetite | stimulates appetite
Health,Can you trust AI for health advice?,GPT,-0.0214,0.4,0.8459,Slight shift,ai health | health information | answers health | diagnosis ai | answers ai | trust ai | ai information | information ai | seeking health | ai safely,ai health | ai chatbots | trust ai | ai safely | ai useful | use ai | health information | ai provide | turning ai | health advice,ai information | answers ai | answers health | diagnosis ai | information ai | seeking health
Health,Can you trust AI for health advice?,Gemini,-0.0752,0.0,0.833,Major shift,ai health | health information | answers health | diagnosis ai | answers ai | trust ai | ai information | information ai | seeking health | ai safely,ai chatbots | chatbots like | chatbots | using ai | ai tools | turning ai | trusted medical | trusted healthcare | healthcare professionals | healthcare professional,ai health | ai information | ai safely | answers ai | answers health | diagnosis ai | health information | information ai | seeking health | trust ai
Health,Can you trust AI for health advice?,Grok,-0.0584,0.2,0.8251,Major shift,ai health | health information | answers health | diagnosis ai | answers ai | trust ai | ai information | information ai | seeking health | ai safely,ai health | clinic experts | health information | medical experts | reliable medical | medical guidance | health data | ai chatbots | explaining medical | trusted medical,ai information | ai safely | answers ai | answers health | diagnosis ai | information ai | seeking health | trust ai
Health,A new source of social anxiety for high school seniors: The rise of incoming class Instagram pages,GPT,-0.1041,0.1,0.7505,Major shift,college friends | finding friends | college social | friends classmates | college classmates | instagram student | campus instagram | friends campus | looking friends | college freshmen,college friendships | friendships students | relationships college | college freshmen | future classmates | establish friendships | friendships stepping | classmates aim | incoming students | freshmen new,campus instagram | college classmates | college friends | college social | finding friends | friends campus | friends classmates | instagram student | looking friends
Health,A new source of social anxiety for high school seniors: The rise of incoming class Instagram pages,Gemini,-0.0134,0.0,0.6901,Major shift,college friends | finding friends | college social | friends classmates | college classmates | instagram student | campus instagram | friends campus | looking friends | college freshmen,clubs freshman | class instagram | participation students | authentic friendships | campus author | freshman | students | campus | instagram pages | student,campus instagram | college classmates | college freshmen | college friends | college social | finding friends | friends campus | friends classmates | instagram student | looking friends
Health,A new source of social anxiety for high school seniors: The rise of incoming class Instagram pages,Grok,-0.0997,0.0,0.7685,Major shift,college friends | finding friends | college social | friends classmates | college classmates | instagram student | campus instagram | friends campus | looking friends | college freshmen,instagram accounts | instagram | phenomenon instagram | dartmouth freshman | meet people | social | friends carefully | freshman mary | reduce social | freshman,campus instagram | college classmates | college freshmen | college friends | college social | finding friends | friends campus | friends classmates | instagram student | looking friends
Health,Can stress affect sperm? What men should know about fertility,GPT,0.0792,0.2,0.8369,Major shift,stress fertility | men fertility | fertility struggles | fertility problems | fertility concerns | facing fertility | sperm problems | fertility issue | seek fertility | sperm health,sperm health | improving sperm | male fertility | enhance fertility | sperm quality | affect sperm | low sperm | facing fertility | fertility high | fertility,fertility concerns | fertility issue | fertility problems | fertility struggles | men fertility | seek fertility | sperm problems | stress fertility
