Genre,Article Name,Model,coverage_score,covered_points,partial_points,missing_points,total_key_points,point_results,note
Health,Aspirin can reduce the risk of cancer - and we're starting to understand why,GPT,0.8333,2,1,0,3,"[{""key_point"": ""A man, James, who's whole family has faced bowel cancer participated in a clinical trial to test if a dose of aspirin would protect against the cancer."", ""best_sentence"": ""However, conducting large-scale clinical trials to prove aspirin's efficacy for cancer prevention is challenging due to the long duration and cost involved."", ""max_similarity"": 0.709, ""status"": ""Covered""}, {""key_point"": ""There have been many studies across the world over the last 15 years that have worked to prove that Apirin has reduced both the incidence and spread of cancer."", ""best_sentence"": ""There is ongoing research to determine aspirin's efficacy in preventing other cancers, with large studies underway involving various types of tumors."", ""max_similarity"": 0.6805, ""status"": ""Partial""}, {""key_point"": ""It is unclear if this will work for all cancers, but it has had many positive impacts and in one UK study they found that the Aspirin helps the cancer cells become more visible to the immune system."", ""best_sentence"": ""There is ongoing research to determine aspirin's efficacy in preventing other cancers, with large studies underway involving various types of tumors."", ""max_similarity"": 0.8143, ""status"": ""Covered""}]",
Health,Aspirin can reduce the risk of cancer - and we're starting to understand why,Gemini,0.6667,1,2,0,3,"[{""key_point"": ""A man, James, who's whole family has faced bowel cancer participated in a clinical trial to test if a dose of aspirin would protect against the cancer."", ""best_sentence"": ""This article details the emerging evidence for aspirin, a 4,000-year-old pain reliever, as a preventative measure against certain cancers and their spread."", ""max_similarity"": 0.6588, ""status"": ""Partial""}, {""key_point"": ""There have been many studies across the world over the last 15 years that have worked to prove that Apirin has reduced both the incidence and spread of cancer."", ""best_sentence"": ""This article details the emerging evidence for aspirin, a 4,000-year-old pain reliever, as a preventative measure against certain cancers and their spread."", ""max_similarity"": 0.562, ""status"": ""Partial""}, {""key_point"": ""It is unclear if this will work for all cancers, but it has had many positive impacts and in one UK study they found that the Aspirin helps the cancer cells become more visible to the immune system."", ""best_sentence"": ""Aspirin is thought to work by inhibiting the Cox-2 enzyme, which reduces cancer-promoting prostaglandins, and by inhibiting thromboxane A2, potentially making cancer cells more visible to the immune system."", ""max_similarity"": 0.7546, ""status"": ""Covered""}]",
Health,Aspirin can reduce the risk of cancer - and we're starting to understand why,Grok,0.8333,2,1,0,3,"[{""key_point"": ""A man, James, who's whole family has faced bowel cancer participated in a clinical trial to test if a dose of aspirin would protect against the cancer."", ""best_sentence"": ""**Bottom line:** For people with Lynch Syndrome or certain types of previous bowel cancer, low-dose aspirin has become a genuine game-changer \u2014 cheap, accessible, and now evidence-backed."", ""max_similarity"": 0.7268, ""status"": ""Covered""}, {""key_point"": ""There have been many studies across the world over the last 15 years that have worked to prove that Apirin has reduced both the incidence and spread of cancer."", ""best_sentence"": ""**Article Summary**\n\n**A 4,000-year-old remedy strikes again:** Aspirin (derived from willow bark used since ancient Mesopotamia) has emerged as a powerful tool for preventing certain cancers, particularly colorectal cancer."", ""max_similarity"": 0.5684, ""status"": ""Partial""}, {""key_point"": ""It is unclear if this will work for all cancers, but it has had many positive impacts and in one UK study they found that the Aspirin helps the cancer cells become more visible to the immune system."", ""best_sentence"": ""### How It Works\n\nAspirin appears to work through multiple mechanisms:\n- It inhibits the enzyme **Cox-2**, which reduces production of prostaglandins that can drive cancer cell growth."", ""max_similarity"": 0.7036, ""status"": ""Covered""}]",
Health,"New study reveals coffee’s positive gut impacts, even without caffeine",GPT,1.0,3,0,0,3,"[{""key_point"": ""Coffee has been proven by recent research to have a positive effect on gut health."", ""best_sentence"": ""While the study is small and current evidence on coffee\u2019s health benefits is mixed, it contributes to the growing interest in the gut microbiome and its influence on health."", ""max_similarity"": 0.8649, ""status"": ""Covered""}, {""key_point"": ""Those in a recent research study who drank coffee reported to have lower stress and depression as well."", ""best_sentence"": ""Results indicated that both caffeinated and decaffeinated coffee drinkers reported lower stress, depression, and impulsivity, suggesting coffee improves mood regardless of caffeine content."", ""max_similarity"": 0.8128, ""status"": ""Covered""}, {""key_point"": ""Coffee also interacted with and improved the participant's the gut microbes which allows them to fight off unhealthy gut bacteria faster) as well as improved their metabolism."", ""best_sentence"": ""While the study is small and current evidence on coffee\u2019s health benefits is mixed, it contributes to the growing interest in the gut microbiome and its influence on health."", ""max_similarity"": 0.7941, ""status"": ""Covered""}]",
Health,"New study reveals coffee’s positive gut impacts, even without caffeine",Gemini,1.0,3,0,0,3,"[{""key_point"": ""Coffee has been proven by recent research to have a positive effect on gut health."", ""best_sentence"": ""The authors highlight that coffee is a complex dietary factor interacting with gut microbes, metabolism, and emotional well-being, potentially offering long-term benefits for a healthier microbiome."", ""max_similarity"": 0.7865, ""status"": ""Covered""}, {""key_point"": ""Those in a recent research study who drank coffee reported to have lower stress and depression as well."", ""best_sentence"": ""Researchers studied 31 coffee drinkers and 31 non-drinkers, finding that those who drank coffee (both caffeinated and decaffeinated) reported lower perceived stress, depression, and impulsivity scores, indicating improved mood."", ""max_similarity"": 0.8428, ""status"": ""Covered""}, {""key_point"": ""Coffee also interacted with and improved the participant's the gut microbes which allows them to fight off unhealthy gut bacteria faster) as well as improved their metabolism."", ""best_sentence"": ""The authors highlight that coffee is a complex dietary factor interacting with gut microbes, metabolism, and emotional well-being, potentially offering long-term benefits for a healthier microbiome."", ""max_similarity"": 0.806, ""status"": ""Covered""}]",
Health,"New study reveals coffee’s positive gut impacts, even without caffeine",Grok,1.0,3,0,0,3,"[{""key_point"": ""Coffee has been proven by recent research to have a positive effect on gut health."", ""best_sentence"": ""While the study is small and existing evidence on coffee\u2019s health effects is sometimes conflicting, it adds to the growing body of research on the **gut-brain axis** and the increasing focus on gut microbiome health."", ""max_similarity"": 0.8553, ""status"": ""Covered""}, {""key_point"": ""Those in a recent research study who drank coffee reported to have lower stress and depression as well."", ""best_sentence"": ""The results showed that people who drank coffee had:\n\n- Significantly lower levels of perceived stress, depression, and impulsivity."", ""max_similarity"": 0.9077, ""status"": ""Covered""}, {""key_point"": ""Coffee also interacted with and improved the participant's the gut microbes which allows them to fight off unhealthy gut bacteria faster) as well as improved their metabolism."", ""best_sentence"": ""While the study is small and existing evidence on coffee\u2019s health effects is sometimes conflicting, it adds to the growing body of research on the **gut-brain axis** and the increasing focus on gut microbiome health."", ""max_similarity"": 0.7748, ""status"": ""Covered""}]",
Health,CDC blocks publication of report showing COVID vaccine efficacy,GPT,0.5,1,2,1,4,"[{""key_point"": ""The CDC had canceled their upcoming publication."", ""best_sentence"": ""The CDC has canceled the publication of a scientific report demonstrating the effectiveness of the COVID-19 vaccine, according to media sources."", ""max_similarity"": 0.8054, ""status"": ""Covered""}, {""key_point"": ""The publication was about the effectiveness of the Covid-19 vaccination in significantly lowering emergency department visits and hospitalizaitons."", ""best_sentence"": ""The report, initially set to be published on March 19 in the CDC\u2019s Morbidity and Mortality Weekly Report, highlighted that the vaccine halved the likelihood of emergency visits and hospitalizations during winter."", ""max_similarity"": 0.6293, ""status"": ""Partial""}, {""key_point"": ""However, although the paper was already approved by the scientific review process, it was ultimately vetoed by the CDC Director Jay due to concerns about the scientific methodologies used."", ""best_sentence"": ""A CDC official did not specifically address the blocked report but emphasized the need for rigorous scientific standards in publications."", ""max_similarity"": 0.6136, ""status"": ""Partial""}, {""key_point"": ""Although many others believe the choice to cancel the publication had to do with poltical motives and bias of the director himself."", ""best_sentence"": ""A former CDC official, Demetre Daskalakis, criticized the move as unprecedented and suggested it was influenced by bias, potentially undermining transparent scientific expertise."", ""max_similarity"": 0.4602, ""status"": ""Missing""}]",
Health,CDC blocks publication of report showing COVID vaccine efficacy,Gemini,0.625,1,3,0,4,"[{""key_point"": ""The CDC had canceled their upcoming publication."", ""best_sentence"": ""The Centers for Disease Control and Prevention (CDC) has reportedly canceled the publication of a scientific report demonstrating that the COVID-19 vaccine cut emergency department visits and hospitalizations by half this past winter."", ""max_similarity"": 0.7971, ""status"": ""Covered""}, {""key_point"": ""The publication was about the effectiveness of the Covid-19 vaccination in significantly lowering emergency department visits and hospitalizaitons."", ""best_sentence"": ""The Centers for Disease Control and Prevention (CDC) has reportedly canceled the publication of a scientific report demonstrating that the COVID-19 vaccine cut emergency department visits and hospitalizations by half this past winter."", ""max_similarity"": 0.603, ""status"": ""Partial""}, {""key_point"": ""However, although the paper was already approved by the scientific review process, it was ultimately vetoed by the CDC Director Jay due to concerns about the scientific methodologies used."", ""best_sentence"": ""Although the report had cleared the agency's scientific review, acting CDC Director Jay Bhattacharya, MD, PhD, delayed its publication, citing concerns about its methodology."", ""max_similarity"": 0.6131, ""status"": ""Partial""}, {""key_point"": ""Although many others believe the choice to cancel the publication had to do with poltical motives and bias of the director himself."", ""best_sentence"": ""Critics suggest the report's cancellation may be politically motivated, aimed at downplaying vaccine efficacy."", ""max_similarity"": 0.575, ""status"": ""Partial""}]",
Health,CDC blocks publication of report showing COVID vaccine efficacy,Grok,0.5,1,2,1,4,"[{""key_point"": ""The CDC had canceled their upcoming publication."", ""best_sentence"": ""The CDC has been without a Senate-confirmed director since Susan Monarez was removed in August 2025 after clashing with Kennedy over vaccine policy."", ""max_similarity"": 0.5499, ""status"": ""Partial""}, {""key_point"": ""The publication was about the effectiveness of the Covid-19 vaccination in significantly lowering emergency department visits and hospitalizaitons."", ""best_sentence"": ""**Summary**\n\nThe **CDC** has blocked publication of a scientific report that showed the COVID-19 vaccine reduced the risk of emergency department visits and hospitalizations by approximately 50% during the past winter."", ""max_similarity"": 0.7025, ""status"": ""Covered""}, {""key_point"": ""However, although the paper was already approved by the scientific review process, it was ultimately vetoed by the CDC Director Jay due to concerns about the scientific methodologies used."", ""best_sentence"": ""A CDC spokesperson defended the decision by saying the agency must uphold \u201cthe highest standards of scientific rigor\u201d and that careful review is preferable to risking error."", ""max_similarity"": 0.6097, ""status"": ""Partial""}, {""key_point"": ""Although many others believe the choice to cancel the publication had to do with poltical motives and bias of the director himself."", ""best_sentence"": ""Demetre Daskalakis, the former director of the National Center for Immunization and Respiratory Diseases, called it unprecedented and accused leadership of \u201ccherry picking based on bias.\u201d He argued that rejecting established vaccine effectiveness methods while waiting for a \u201cperfect study\u201d the current system cannot produce is not transparent science."", ""max_similarity"": 0.4225, ""status"": ""Missing""}]",
Health,"After a year of turmoil, cancer researchers see promising signs for mRNA vaccines",GPT,0.6667,2,0,1,3,"[{""key_point"": ""mRNA technology became widely known through the COVID vaccines, but the field has faced a lot of political pushback in recent years including a proposed 40%+ cut to the National Cancer Institute's budget and the cancellation of an mRNA flu vaccine contract."", ""best_sentence"": ""Despite the potential shown by mRNA vaccines in cancer treatment, the field faced significant challenges post-pandemic due to backlash against COVID vaccines, funding cuts, and skepticism."", ""max_similarity"": 0.7693, ""status"": ""Covered""}, {""key_point"": ""Despite all of that, research seems to still be moving forward."", ""best_sentence"": ""Yet, prominent trials led by companies like BioNTech and Moderna continue, fueled by industry support amidst tight federal funding."", ""max_similarity"": 0.4624, ""status"": ""Missing""}, {""key_point"": ""The article follows pancreatic cancer patients who are participating in mRNA cancer vaccine trials."", ""best_sentence"": ""Despite knowing the grim survival rates for pancreatic cancer, Blechner opted for an innovative treatment path involving a personalized mRNA-based vaccine at Memorial Sloan Kettering Cancer Center."", ""max_similarity"": 0.732, ""status"": ""Covered""}]",
