Genre,Article Name,Model,supported,contradictions,neutral,total_summary_sentences,faithfulness_score,contradiction_rate,sentence_level_nli
Health,CDC warns of drug-resistant salmonella infections linked to backyard poultry,GPT,2,0,6,8,0.625,0.0,"[{""summary_sentence"": ""The Centers for Disease Control and Prevention (CDC) has reported that at least 34 people across 13 states have contracted salmonella poisoning linked to backyard poultry, with some infections displaying resistance to standard antibiotics."", ""label"": ""NEUTRAL"", ""confidence"": 0.9961}, {""summary_sentence"": ""The outbreak occurred between February 26 and March 31, leading to the hospitalization of 13 individuals, with victims ranging from 1 to 78 years old."", ""label"": ""NEUTRAL"", ""confidence"": 0.9961}, {""summary_sentence"": ""Notably, over 40% of those affected are children under five."", ""label"": ""NEUTRAL"", ""confidence"": 0.9958}, {""summary_sentence"": ""Most of those sickened had contact with backyard poultry sourced from agricultural retail stores, with more than 90% of bird-owning interviewees having acquired their animals since January."", ""label"": ""NEUTRAL"", ""confidence"": 0.976}, {""summary_sentence"": ""The affected states include Florida, Illinois, and Michigan, among others, and the CDC is continuing to investigate the potential spread to additional regions."", ""label"": ""NEUTRAL"", ""confidence"": 0.9963}, {""summary_sentence"": ""Some of the bacterial samples are resistant to at least one drug, and a few are resistant to four other common antibiotics, posing a heightened risk of severe illness or death, particularly for young children, the elderly, and those with weakened immune systems."", ""label"": ""ENTAILMENT"", ""confidence"": 0.9773}, {""summary_sentence"": ""Preventive measures include handwashing after handling poultry or their environment and avoiding close contact with the birds."", ""label"": ""ENTAILMENT"", ""confidence"": 0.6711}, {""summary_sentence"": ""This outbreak echoes previous incidents, such as one in 2025 that affected over 500 people nationwide."", ""label"": ""NEUTRAL"", ""confidence"": 0.6582}]"
Health,CDC warns of drug-resistant salmonella infections linked to backyard poultry,Gemini,1,0,3,4,0.625,0.0,"[{""summary_sentence"": ""The CDC has issued a warning regarding a new outbreak of drug-resistant salmonella infections linked to backyard poultry, with at least 34 people sickened across 13 states between February and March, leading to 13 hospitalizations."", ""label"": ""NEUTRAL"", ""confidence"": 0.996}, {""summary_sentence"": ""Over 40% of those affected are children under five, and nearly 80% reported contact with backyard birds, many of which were recently acquired."", ""label"": ""NEUTRAL"", ""confidence"": 0.9957}, {""summary_sentence"": ""The bacteria from these infections showed resistance to at least one, and in some cases multiple, common antibiotics, raising concerns about serious illness or death if untreatable."", ""label"": ""NEUTRAL"", ""confidence"": 0.9313}, {""summary_sentence"": ""The CDC advises frequent handwashing after handling poultry or their environment, and avoiding kissing or snuggling with birds, particularly for young children, older adults, and those with weakened immune systems who are most vulnerable."", ""label"": ""ENTAILMENT"", ""confidence"": 0.9889}]"
Health,CDC warns of drug-resistant salmonella infections linked to backyard poultry,Grok,2,0,3,5,0.7,0.0,"[{""summary_sentence"": ""**Summary:**\n\nThe CDC is reporting a salmonella outbreak linked to backyard poultry that has sickened at least 34 people across 13 states."", ""label"": ""NEUTRAL"", ""confidence"": 0.9954}, {""summary_sentence"": ""The infections, reported between late February and late March, have hospitalized 13 individuals, with more than 40% of cases occurring in children under age 5."", ""label"": ""NEUTRAL"", ""confidence"": 0.9961}, {""summary_sentence"": ""Nearly 80% of sick people had direct contact with backyard birds, most of which were recently purchased since January."", ""label"": ""NEUTRAL"", ""confidence"": 0.9929}, {""summary_sentence"": ""Notably, bacteria from the patients show resistance to at least one, and in some cases multiple, common antibiotics used to treat salmonella, raising concerns about more severe illness."", ""label"": ""ENTAILMENT"", ""confidence"": 0.5944}, {""summary_sentence"": ""The CDC advises that young children, older adults, and immunocompromised people are at highest risk and recommends strict hand hygiene while avoiding kissing or snuggling with backyard poultry to prevent infection."", ""label"": ""ENTAILMENT"", ""confidence"": 0.9898}]"
Health,What Is the Best Time of Day to Eat Protein? Dietitians Weigh In,GPT,3,0,5,8,0.6875,0.0,"[{""summary_sentence"": ""The article \""What Is the Best Time of Day to Eat Protein?"", ""label"": ""ENTAILMENT"", ""confidence"": 0.755}, {""summary_sentence"": ""Dietitians Weigh In\"" explores the optimal timing for protein consumption, emphasizing its significance for overall health, including muscle growth, tissue repair, immune support, and satiety."", ""label"": ""NEUTRAL"", ""confidence"": 0.6622}, {""summary_sentence"": ""Experts assert that incorporating protein at every meal is ideal, rather than concentrating intake at a specific time."", ""label"": ""ENTAILMENT"", ""confidence"": 0.9119}, {""summary_sentence"": ""Breakfast is deemed crucial for protein intake to enhance satiety, maintain energy, and support cardiometabolic health."", ""label"": ""NEUTRAL"", ""confidence"": 0.8775}, {""summary_sentence"": ""Protein-rich snacks can help stabilize blood sugar and regulate appetite."", ""label"": ""NEUTRAL"", ""confidence"": 0.995}, {""summary_sentence"": ""Post-workout protein aids muscle recovery, but excessive intake might be unnecessary except for intense exercise."", ""label"": ""NEUTRAL"", ""confidence"": 0.9838}, {""summary_sentence"": ""Dinner should include protein without overloading, as efficient absorption necessitates distribution throughout the day."", ""label"": ""NEUTRAL"", ""confidence"": 0.8534}, {""summary_sentence"": ""The recommended protein intake is 1.2\u20131.6 grams per kilogram of body weight daily, and while many are fixated on protein, a balanced diet with other nutrients is encouraged for optimal health."", ""label"": ""ENTAILMENT"", ""confidence"": 0.9602}]"
Health,What Is the Best Time of Day to Eat Protein? Dietitians Weigh In,Gemini,4,0,2,6,0.8333,0.0,"[{""summary_sentence"": ""According to dietitians, the best time to eat protein is not at one specific moment, but rather spread consistently throughout the day to maximize benefits."", ""label"": ""ENTAILMENT"", ""confidence"": 0.9518}, {""summary_sentence"": ""While protein is crucial for muscle growth, satiety, and immune function, many adults consume the majority of their protein at dinner."", ""label"": ""ENTAILMENT"", ""confidence"": 0.8469}, {""summary_sentence"": ""Experts emphasize the importance of prioritizing protein at breakfast to promote satiety, provide sustained energy, and improve cardiometabolic health, and recommend including it in snacks to stabilize blood sugar and regulate appetite."", ""label"": ""NEUTRAL"", ""confidence"": 0.9886}, {""summary_sentence"": ""Protein intake after a workout also aids muscle repair, though large amounts aren't always necessary."", ""label"": ""NEUTRAL"", ""confidence"": 0.9786}, {""summary_sentence"": ""Dietitians suggest aiming for 20-30 grams of protein per meal, with a daily target of 1.2-1.6 grams per kilogram of body weight."", ""label"": ""ENTAILMENT"", ""confidence"": 0.9807}, {""summary_sentence"": ""However, they caution against an over-obsession with protein that might neglect other vital nutrients like fiber, advocating for a balanced approach to all macronutrients."", ""label"": ""ENTAILMENT"", ""confidence"": 0.8775}]"
Health,What Is the Best Time of Day to Eat Protein? Dietitians Weigh In,Grok,2,0,4,6,0.6667,0.0,"[{""summary_sentence"": ""**Summary:**\n\nThe best time to eat protein is **throughout the day** rather than at one specific meal, according to dietitians Natalie Rizzo and Lisa Young."", ""label"": ""ENTAILMENT"", ""confidence"": 0.8928}, {""summary_sentence"": ""Spreading protein intake evenly helps regulate appetite, stabilize blood sugar, maintain steady energy, and support muscle repair more effectively than consuming most of it at dinner, which is currently the common pattern."", ""label"": ""NEUTRAL"", ""confidence"": 0.9479}, {""summary_sentence"": ""Protein is especially beneficial at breakfast after an overnight fast, as it boosts satiety, focus, and cardiometabolic health."", ""label"": ""NEUTRAL"", ""confidence"": 0.782}, {""summary_sentence"": ""It also helps stabilize energy when eaten as snacks and supports muscle recovery when consumed after workouts."", ""label"": ""NEUTRAL"", ""confidence"": 0.995}, {""summary_sentence"": ""Experts recommend 20\u201330 grams of protein per meal (up to 30\u201340 for active or larger individuals), with a daily target of 1.2\u20131.6 grams per kilogram of body weight."", ""label"": ""ENTAILMENT"", ""confidence"": 0.9789}, {""summary_sentence"": ""While protein is essential for muscle growth, immunity, and fullness, both dietitians caution against over-focusing on it at the expense of other important nutrients like fiber, healthy fats, and whole grains."", ""label"": ""NEUTRAL"", ""confidence"": 0.9537}]"
Health,Aspirin can reduce the risk of cancer - and we're starting to understand why,GPT,2,0,4,6,0.6667,0.0,"[{""summary_sentence"": ""The article discusses the emerging evidence that aspirin, a widely used painkiller with ancient roots, may reduce the risk of certain cancers, including colorectal cancer, particularly in individuals with genetic predispositions like Lynch Syndrome."", ""label"": ""ENTAILMENT"", ""confidence"": 0.654}, {""summary_sentence"": ""Recent studies have highlighted aspirin's potential to inhibit cancer formation and metastasis, leading to changes in health guidelines in some countries."", ""label"": ""NEUTRAL"", ""confidence"": 0.9839}, {""summary_sentence"": ""The mechanism is thought to involve inhibition of the enzyme Cox-2 and modulation of immune responses, though the exact processes are still under investigation."", ""label"": ""NEUTRAL"", ""confidence"": 0.7777}, {""summary_sentence"": ""Long-term studies, such as those led by John Burn, indicate that low doses of aspirin can significantly lower cancer risk in patients with specific genetic conditions, without severe side effects."", ""label"": ""NEUTRAL"", ""confidence"": 0.9748}, {""summary_sentence"": ""While aspirin's benefits for cardiovascular health are well documented, its broader implications for cancer prevention remain a topic of ongoing research, with some scientists advocating for its cautious use in select high-risk populations."", ""label"": ""NEUTRAL"", ""confidence"": 0.9835}, {""summary_sentence"": ""However, experts urge consultation with healthcare professionals before considering aspirin as a preventive measure due to possible adverse effects."", ""label"": ""ENTAILMENT"", ""confidence"": 0.608}]"
Health,Aspirin can reduce the risk of cancer - and we're starting to understand why,Gemini,1,0,3,4,0.625,0.0,"[{""summary_sentence"": ""The ancient painkiller aspirin is increasingly recognized for its ability to reduce the risk of certain cancers and prevent their spread, a benefit now supported by modern clinical trials."", ""label"": ""NEUTRAL"", ""confidence"": 0.9818}, {""summary_sentence"": ""Studies, particularly with patients having Lynch Syndrome or previously treated colorectal cancer, have shown that daily low-dose aspirin can significantly halve the risk of developing these cancers or their recurrence, leading to changes in medical guidelines in countries like the UK and Sweden for high-risk individuals."", ""label"": ""NEUTRAL"", ""confidence"": 0.9866}, {""summary_sentence"": ""While the precise mechanisms are still being investigated, research suggests aspirin may inhibit uncontrolled cell growth via enzymes like Cox-2 and enhance the immune system's ability to detect cancer cells by affecting clotting factors like thromboxane A2."", ""label"": ""ENTAILMENT"", ""confidence"": 0.6288}, {""summary_sentence"": ""Despite its promising potential, especially for specific patient groups, experts caution against general population use due to potential side effects like bleeding, emphasizing that aspirin should only be taken under a doctor's supervision."", ""label"": ""NEUTRAL"", ""confidence"": 0.985}]"
Health,Aspirin can reduce the risk of cancer - and we're starting to understand why,Grok,2,0,5,7,0.6429,0.0,"[{""summary_sentence"": ""**Summary:**\n\nAspirin, one of medicine\u2019s oldest drugs with roots stretching back 4,000 years to ancient Mesopotamia, has been shown in recent rigorous clinical trials to significantly reduce the risk of colorectal cancer."", ""label"": ""ENTAILMENT"", ""confidence"": 0.7347}, {""summary_sentence"": ""In people with Lynch Syndrome, a daily low dose (75\u2013100mg) taken for at least two years halved the incidence of bowel cancer over a 10-year period."", ""label"": ""NEUTRAL"", ""confidence"": 0.9897}, {""summary_sentence"": ""Similarly, in patients who had already undergone surgery for colorectal cancer with specific common mutations, aspirin reduced the risk of recurrence or metastasis by more than half."", ""label"": ""NEUTRAL"", ""confidence"": 0.977}, {""summary_sentence"": ""These findings have already prompted changes in clinical guidelines in the UK and Sweden, recommending low-dose aspirin for these high-risk groups."", ""label"": ""NEUTRAL"", ""confidence"": 0.9929}, {""summary_sentence"": ""Scientists are now beginning to understand that aspirin works through multiple mechanisms, including inhibiting the Cox-2 enzyme that drives cell proliferation and blocking thromboxane A2, which appears to help cancer cells evade the immune system."", ""label"": ""ENTAILMENT"", ""confidence"": 0.4473}, {""summary_sentence"": ""While the evidence is compelling for certain high-risk populations, experts stress that aspirin should only be taken under medical supervision due to potential side effects such as internal bleeding."", ""label"": ""NEUTRAL"", ""confidence"": 0.9919}, {""summary_sentence"": ""Larger trials are now underway to determine whether its benefits extend to other types of cancer."", ""label"": ""NEUTRAL"", ""confidence"": 0.9686}]"
Health,"New study reveals coffee’s positive gut impacts, even without caffeine",GPT,2,0,4,6,0.6667,0.0,"[{""summary_sentence"": ""A recent study published in Nature Communications highlights the positive effects of coffee on the gut-brain connection, noting beneficial impacts on mood and stress regardless of caffeine content."", ""label"": ""NEUTRAL"", ""confidence"": 0.6236}, {""summary_sentence"": ""The study, which involved 31 coffee drinkers and 31 non-drinkers, utilized psychological assessments, dietary diaries, and biological samples to investigate changes in microbiome, mood, and stress levels."", ""label"": ""NEUTRAL"", ""confidence"": 0.9754}, {""summary_sentence"": ""Results indicated that coffee drinkers, whether consuming caffeinated or decaffeinated coffee, experienced lower stress, depression, and impulsivity, as well as an increase in beneficial gut bacteria that combat unhealthy bacteria and infections."", ""label"": ""ENTAILMENT"", ""confidence"": 0.923}, {""summary_sentence"": ""Caffeinated coffee was specifically linked to reduced anxiety and inflammation, and improved attention and vigilance."", ""label"": ""NEUTRAL"", ""confidence"": 0.5604}, {""summary_sentence"": ""Lead author John Cryan emphasizes coffee\u2019s complex interaction with gut microbes, metabolism, and emotional well-being, suggesting its potential as part of a balanced diet for better gut health."", ""label"": ""NEUTRAL"", ""confidence"": 0.8705}, {""summary_sentence"": ""Despite being a small study and the existing conflicting evidence, this research adds to the growing interest in the role of the gut microbiome in wellness."", ""label"": ""ENTAILMENT"", ""confidence"": 0.9894}]"
